id,dataset_source,clarity_tier,run,expected_service,expected_kpi_type,n_expected,n_extracted,n_true_positive,n_false_positive,n_false_negative,service_correct,kpi_type_correct,comparator_correct,value_correct,unit_correct,exact_match,error_category,necessity_status,decision_kind,elapsed_s
enact-101,extended,,1,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.78
enact-101,extended,,2,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-101,extended,,3,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.12
enact-102,extended,,1,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.17
enact-102,extended,,2,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.13
enact-102,extended,,3,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.38
enact-103,extended,,1,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.24
enact-103,extended,,2,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.37
enact-103,extended,,3,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.54
enact-104,extended,,1,P1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.35
enact-104,extended,,2,P1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.51
enact-104,extended,,3,P1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.4
enact-105,extended,,1,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.59
enact-105,extended,,2,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.65
enact-105,extended,,3,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.27
enact-106,extended,,1,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.64
enact-106,extended,,2,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.35
enact-106,extended,,3,F1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.13
enact-107,extended,,1,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.11
enact-107,extended,,2,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.26
enact-107,extended,,3,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.33
enact-108,extended,,1,P1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.51
enact-108,extended,,2,P1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.28
enact-108,extended,,3,P1,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.28
enact-109,extended,,1,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,no_action_needed,no_change,1.26
enact-109,extended,,2,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,no_action_needed,no_change,1.3
enact-109,extended,,3,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,no_action_needed,no_change,1.34
enact-110,extended,,1,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,reconfiguration_required,relocated,2.8
enact-110,extended,,2,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,reconfiguration_required,relocated,2.77
enact-110,extended,,3,P1,latency,1,1,0,0,1,False,True,True,True,True,False,confusion_service,reconfiguration_required,relocated,2.76
enact-111,extended,,1,F1,latency,1,2,1,1,0,True,True,True,True,True,False,sur_extraction,no_action_needed,no_change,1.62
enact-111,extended,,2,F1,latency,1,2,1,1,0,True,True,True,True,True,False,sur_extraction,no_action_needed,no_change,2.22
enact-111,extended,,3,F1,latency,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.25
enact-112,extended,,1,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.42
enact-112,extended,,2,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.18
enact-112,extended,,3,C2-v2,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.56
enact-113,extended,,1,F2-v2,ram,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.16
enact-113,extended,,2,F2-v2,ram,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.33
enact-113,extended,,3,F2-v2,ram,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.27
enact-114,extended,,1,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.26
enact-114,extended,,2,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.25
enact-114,extended,,3,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,relocated,2.24
enact-201,clarity_spectrum,1,1,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.24
enact-201,clarity_spectrum,1,2,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-201,clarity_spectrum,1,3,C1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.62
enact-202,clarity_spectrum,1,1,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.2
enact-202,clarity_spectrum,1,2,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.27
enact-202,clarity_spectrum,1,3,F2,energy,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.26
enact-203,clarity_spectrum,1,1,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.27
enact-203,clarity_spectrum,1,2,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.77
enact-203,clarity_spectrum,1,3,P1,storage,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.44
enact-204,clarity_spectrum,1,1,C2,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.23
enact-204,clarity_spectrum,1,2,C2,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.13
enact-204,clarity_spectrum,1,3,C2,network_in,1,1,1,0,0,True,True,True,True,True,True,ok,no_action_needed,no_change,1.43
enact-205,clarity_spectrum,2,1,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.16
enact-205,clarity_spectrum,2,2,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.42
enact-205,clarity_spectrum,2,3,F1,cpu,1,1,1,0,0,True,True,True,True,True,True,ok,reconfiguration_required,no_valid_placement,2.46
